Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
18,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,15,1,Screen 1,buttonC,response_button_text,1428.6,pungus,1,0,1,0,,,,recognition_A,,1,recog-trial,tesdar,ride.PNG,tesdar,tesdor,pungus,pungos,tesdar.mp3,tesdor.mp3,pungus.mp3,pungos.mp3
19,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,1164.4,,,0,1,0,,,,recognition_A,,,recog-Finish,,,,,,,,,,
20,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,END TASK,,,,,33897,,,0,1,0,,,,,,,,,,,,,,,,,
1,1.54411E+12,06/12/2018 15:03,1.54411E+12,0,06/12/2018 15:03,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:03,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,7685.2,,,0,1,0,,,,recognition_A,,,recog-Instructions,,,,,,,,,,
3,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,buttonB,response_button_text,3390.9,tabric,1,1,0,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
4,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,Zone1,content_audio,8178.4,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,parung,sun.PNG,parung,vorgil,vorgal,pareng,parung.mp3,vorgil.mp3,vorgal.mp3,pareng.mp3
5,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,buttonA,response_button_text,11248.8,parung,1,1,0,0,,,,recognition_A,,1,recog-trial,parung,sun.PNG,parung,vorgil,vorgal,pareng,parung.mp3,vorgil.mp3,vorgal.mp3,pareng.mp3
6,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,3,1,Screen 1,buttonC,response_button_text,2358.6,rafar,1,1,0,0,,,,recognition_A,,1,recog-trial,rafar,animal.PNG,rafer,mowil,rafar,mowel,rafer.mp3,mowil.mp3,rafar.mp3,mowel.mp3
7,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,4,1,Screen 1,buttonA,response_button_text,2549.5,regby,1,1,0,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
8,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,5,1,Screen 1,buttonB,response_button_text,3316.1,ballow,1,1,0,0,,,,recognition_A,,1,recog-trial,ballow,money.PNG,parung,ballow,pareng,ballew,parung.mp3,ballow.mp3,pareng.mp3,ballew.mp3
9,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,6,1,Screen 1,buttonC,response_button_text,2877.5,nusty,1,1,0,0,,,,recognition_A,,1,recog-trial,nusty,food.PNG,nusto,ballow,nusty,ballew,nusto.mp3,ballow.mp3,nusty.mp3,ballew.mp3
10,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,7,1,Screen 1,buttonD,response_button_text,3459.6,dester,1,1,0,0,,,,recognition_A,,1,recog-trial,dester,tree.PNG,rafer,rafar,destor,dester,rafer.mp3,rafar.mp3,destor.mp3,dester.mp3
11,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,8,1,Screen 1,buttonC,response_button_text,3979,vorgal,1,1,0,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
12,1.54411E+12,06/12/2018 15:04,1.54411E+12,0,06/12/2018 15:04,4424,9,task-z5kw,,1944459,,512114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 70.0.3538.110,1366x768,1366x626,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,9,1,Screen 1,buttonD,response_button_text,5267.3,femod,1,1,0,0,,,,recognition_A,,1,recog-trial,femod,hoverboard.PNG,wabin,femad,wabon,femod,wabin.mp3,femad.mp3,wabon.mp3,femod.mp3
