Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
30,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,9,1,Screen 1,buttonA,response_button_text,5255.7,vorgil,1,0,1,0,,,,recognition_B,,1,recog-trial,vorgal,backpack.PNG,vorgil,peflin,peflun,vorgal,vorgil.mp3,peflin.mp3,peflun.mp3,vorgal.mp3
31,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,10,1,Screen 1,Zone1,content_audio,2744.4,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
32,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,10,1,Screen 1,Zone3,content_audio,5914,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
33,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,10,1,Screen 1,buttonC,response_button_text,8745.5,wabon,1,1,0,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
34,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,11,1,Screen 1,Zone3,content_audio,1860.7,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
35,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,11,1,Screen 1,Zone4,content_audio,5100.8,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
36,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,11,1,Screen 1,buttonD,response_button_text,7099.8,tabric,1,1,0,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
37,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,12,1,Screen 1,Zone3,content_audio,1756.8,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,mowel,ride.PNG,ballew,mowel,mowil,ballow,ballew.mp3,mowel.mp3,mowil.mp3,ballow.mp3
38,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,12,1,Screen 1,buttonC,response_button_text,4662,mowil,1,0,1,0,,,,recognition_B,,1,recog-trial,mowel,ride.PNG,ballew,mowel,mowil,ballow,ballew.mp3,mowel.mp3,mowil.mp3,ballow.mp3
39,1.54394E+12,04/12/2018 15:32,1.54394E+12,0,04/12/2018 15:32,4424,9,task-lwe7,,1931975,,510489,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x644,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,13,1,Screen 1,Zone1,content_audio,2827,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,nusty,drink.PNG,nusty,nusto,solla,solly,nusty.mp3,nusto.mp3,solla.mp3,solly.mp3
