Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
31,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,9,1,Screen 1,Zone3,content_audio,4231.8,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,rafar,animal.PNG,rafer,mowil,rafar,mowel,rafer.mp3,mowil.mp3,rafar.mp3,mowel.mp3
32,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,9,1,Screen 1,buttonA,response_button_text,5840.5,rafer,1,0,1,0,,,,recognition_A,,1,recog-trial,rafar,animal.PNG,rafer,mowil,rafar,mowel,rafer.mp3,mowil.mp3,rafar.mp3,mowel.mp3
33,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,10,1,Screen 1,Zone1,content_audio,2404.7,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,femod,hoverboard.PNG,wabin,femad,wabon,femod,wabin.mp3,femad.mp3,wabon.mp3,femod.mp3
34,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,10,1,Screen 1,buttonA,response_button_text,3749.5,wabin,1,0,1,0,,,,recognition_A,,1,recog-trial,femod,hoverboard.PNG,wabin,femad,wabon,femod,wabin.mp3,femad.mp3,wabon.mp3,femod.mp3
35,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,11,1,Screen 1,buttonA,response_button_text,1489.9,parung,1,1,0,0,,,,recognition_A,,1,recog-trial,parung,sun.PNG,parung,vorgil,vorgal,pareng,parung.mp3,vorgil.mp3,vorgal.mp3,pareng.mp3
36,1.54385E+12,03/12/2018 16:29,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,12,1,Screen 1,Zone2,content_audio,7676.5,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
37,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,12,1,Screen 1,Zone3,content_audio,9798,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
38,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,12,1,Screen 1,Zone4,content_audio,11210.7,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
39,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,12,1,Screen 1,buttonB,response_button_text,13156.8,tabric,1,1,0,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
40,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,13,1,Screen 1,Zone1,content_audio,1956.8,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
41,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,13,1,Screen 1,buttonA,response_button_text,3527.9,regby,1,1,0,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
42,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,14,1,Screen 1,Zone1,content_audio,2260.3,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,solly,monster.PNG,nusty,solla,nusto,solly,nusty.mp3,solla.mp3,nusto.mp3,solly.mp3
43,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,14,1,Screen 1,Zone3,content_audio,4276.2,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,solly,monster.PNG,nusty,solla,nusto,solly,nusty.mp3,solla.mp3,nusto.mp3,solly.mp3
44,1.54385E+12,03/12/2018 16:30,1.54385E+12,0,03/12/2018 16:30,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,14,1,Screen 1,buttonA,response_button_text,5874.9,nusty,1,0,1,0,,,,recognition_A,,1,recog-trial,solly,monster.PNG,nusty,solla,nusto,solly,nusty.mp3,solla.mp3,nusto.mp3,solly.mp3
